,order_date,sales_qty,sales_amount,currency,user_id,r_id
0,10-10-2017,100,41241,INR,49226,567335
1,08-05-2018,3,-1,INR,77359,531342
2,06-04-2018,1,875,INR,5321,158203
3,11-04-2018,1,583,INR,21343,187912
4,18-06-2018,6,7176,INR,75378,543530
5,20-11-2017,59,500,USD,34323,158204
6,22-11-2017,36,250,USD,33246,156588
7,23-11-2017,39,21412,INR,87420,244866
8,27-11-2017,35,19213,INR,31017,156602
9,28-11-2017,310,170185,INR,72391,158193
10,29-11-2017,184,101194,INR,91457,407249
11,30-11-2017,35,19213,INR,33851,156590
12,29-11-2017,17,9426,INR,27008,338749
13,19-12-2017,1,218,INR,47798,156601
14,07-08-2018,5,3093,INR,58443,156587
15,04-12-2017,58,30306,INR,32969,158192
16,29-06-2018,38,52319,INR,29585,394554
17,02-07-2018,93,126296,INR,29210,158195
18,03-07-2018,79,107500,INR,44025,257181
19,04-07-2018,1,273,INR,81729,530909
20,06-07-2018,3,3574,INR,55846,573649
21,13-07-2018,1,273,INR,56648,573656
22,07-06-2019,20,23403,INR,7018,420675
23,29-07-2019,81,76329,INR,29312,427610
24,01-08-2019,5,4542,INR,68553,435582
25,19-09-2019,18,16579,INR,5753,382204
26,27-09-2019,90,105301,INR,80146,460692
27,09-10-2017,1,185,INR,41882,368328
28,13-10-2017,1,556,INR,572,530878
29,27-10-2017,1,551,INR,53990,171675
30,03-11-2017,1,167,INR,22718,475283
31,06-11-2017,1,333,INR,40886,421155
32,10-11-2017,1,500,INR,90799,545273
33,16-11-2017,1,333,INR,59075,440811
34,17-11-2017,1,333,INR,79488,420586
35,27-11-2017,1,500,INR,9738,448046
36,04-12-2017,1,833,INR,61303,187921
37,08-12-2017,1,167,INR,70795,551512
38,11-12-2017,1,833,INR,25283,351387
39,18-12-2017,1,1000,INR,38951,432675
40,27-12-2017,2,1833,INR,63358,302868
41,28-12-2017,1,167,INR,23510,567664
42,05-01-2018,1,167,INR,55123,440878
43,08-01-2018,1,833,INR,76741,161396
44,22-01-2018,1,167,INR,26983,382249
45,21-02-2018,26,10657,INR,56760,161408
46,23-02-2018,1,167,INR,86455,432684
